u1(t),u2(t),u3(t),u4(t)
-0.68905455,-0.88657165,-0.84391165,-0.6596295
-0.51703155,0.08036661,-1.0077034,0.6322461
-0.66560256,-0.034317344,0.39775792,0.1947706
-0.53798765,-0.28316918,1.653149,-1.0807782
0.40638188,0.5727149,0.7973606,-1.1298525
1.2114782,1.6319501,-0.88812405,0.10806975
0.5285423,1.1569409,-1.147237,0.82327867
-0.96670777,-0.43904757,-0.13352606,0.29539502
-1.2829573,-0.986715,0.64285296,-0.25390282
-0.28031301,0.017118659,0.86273354,0.0345498
0.102878265,0.50680447,1.0924845,0.3351821
-0.99083775,-0.7159016,1.2004544,-0.14215346
-2.0652964,-1.8224868,0.6420019,-0.6482772
-1.7070354,-1.0247784,-0.30002216,-0.3501797
-0.6658487,0.3515937,-0.8266752,-0.036885805
-0.53376913,0.3052117,-0.8649999,-0.69031304
-1.2271498,-0.3527582,-0.92101324,-1.3841166
-1.1194239,0.27344367,-0.89871156,-0.63245493
0.32550588,1.6491474,-0.13720785,0.9363676
1.5147843,1.7195039,1.2502393,1.3615247
1.0585065,0.20932786,1.9326756,0.2997654
-0.19892058,-1.0819598,0.8935799,-0.7003516
-0.6753243,-0.8241515,-0.90622044,-0.6001928
-0.4336753,0.22688971,-1.4278532,-0.080449246
-0.55431837,0.41718253,-0.30451307,-0.32944363
-0.94579804,-0.42214143,0.62648183,-1.3700874
-0.5298494,-0.8861463,0.017004954,-1.8912058
0.65318954,-0.49378023,-1.2389585,-0.95409954
1.2091717,-0.39396518,-1.5417407,0.46812722
0.49524078,-0.97617984,-0.5957067,0.69677037
-0.40819645,-1.0825521,0.5902313,-0.10288304
-0.3159684,-0.30595347,0.910138,-0.22757418
0.4271802,0.26036727,0.2099995,0.6001035
0.55084634,0.10717771,-0.61326474,0.6892797
-0.24956313,0.0014127765,-0.7075194,-0.5060077
-0.74474204,0.30754617,-0.21114492,-1.0804126
-0.012724344,0.4942508,0.29534143,0.12696387
0.8787213,0.38316545,0.68209696,1.3528131
0.424781,0.30284163,0.9536465,0.7879747
-0.7941709,0.13149337,0.65300536,-0.59809744
-1.175732,-0.51943606,-0.55600137,-1.162546
-0.8818912,-1.408597,-1.9597982,-1.2935531
-1.1377419,-1.8565878,-2.2756565,-1.8454925
-1.6818709,-1.5804515,-1.2758983,-2.025711
-1.481576,-0.8900907,-0.26603675,-1.0503194
-0.8989179,-0.30630177,-0.32529542,0.023244072
-0.7443935,-0.18040827,-0.72416186,0.0746537
-0.54065615,-0.484151,-0.24451308,-0.2499025
0.275368,-0.6974507,0.63191366,0.02962013
1.1048555,-0.07697624,0.64513624,0.6750515
1.4431107,1.281845,0.21975413,1.0335457
1.4110866,1.8905247,0.76147646,0.8661668
0.70502824,0.7464676,1.9695499,0.1543641
-0.720666,-0.595552,2.2107456,-0.66671485
-1.5130242,-0.04588733,1.2992145,-0.7910791
-0.83315146,1.3621527,0.638195,-0.26072145
-0.118011564,0.882906,0.6070639,-0.012520725
-0.7103782,-1.1982435,-0.01645938,-0.2797093
-1.5244257,-1.8613654,-1.5817814,-0.422384
-1.1283439,-0.39102215,-2.5026643,-0.3086545
-0.20337905,0.6569453,-1.6223972,-0.26952967
-0.034583505,-0.04005039,-0.03787586,-0.050739996
-0.27039695,-0.61582154,0.5953687,0.7615489
0.1725368,0.44934252,0.23333474,1.7300724
1.1962076,1.7132689,-0.26685455,1.9888663
1.7573333,1.2697022,-0.6896713,1.2921048
1.3226535,-0.1524574,-0.9794116,0.13129231
0.3138542,-0.61942303,-0.5680077,-0.84440345
-0.517501,-0.1953911,0.42359853,-1.1804751
-0.6950917,-0.3046593,0.7317548,-0.665133
-0.3258892,-0.84313786,-0.0025472862,0.34616
-0.13224404,-0.6821349,-0.41436544,0.6642692
-0.67636603,-0.284623,0.14284182,-0.55485004
-1.2982578,-0.86520225,0.36138457,-2.0412796
-0.7006413,-1.6406224,-0.4780892,-1.5020832
1.0913615,-0.8743837,-0.90408695,0.8450822
2.4470093,0.9656033,0.18097025,1.9886956
2.1614048,1.7859646,1.3561618,0.4105164
0.72461563,1.0161532,0.9681503,-1.7013392
-0.6829616,-0.068820536,-0.21108697,-1.8470876
-1.4698782,-0.5945998,-0.61971605,-0.5817633
-1.6768374,-0.8249388,-0.55424297,0.039882824
-1.5607035,-1.0518082,-0.9902816,-0.42408404
-1.3452251,-1.0660325,-1.2836516,-0.86982584
-0.934688,-0.60749876,-0.39464983,-0.724779
-0.09160218,0.25036722,0.8853167,-0.51387495
0.80424666,1.063569,1.1703042,-0.69647634
0.97746694,1.3466421,0.80504984,-0.8615021
0.5617709,1.0785325,0.8934173,-0.2835864
0.45594662,0.6063509,1.0891869,0.9754041
0.65914434,0.07873735,0.40983346,1.9624395
0.2885022,-0.5289955,-0.6914629,2.0187726
-0.64870423,-1.0389222,-1.0765334,1.4500638
-1.1350459,-1.2778373,-0.89988875,0.6595829
-0.8416924,-1.3074327,-0.9646756,-0.3921887
-0.44941854,-1.031903,-0.9290203,-1.2498444
-0.29643637,-0.23343484,0.01608936,-0.8165211
-0.11728446,0.6061834,1.2870347,0.830917
-0.026213685,0.56289315,1.4738947,1.8501638
-0.30420542,-0.06967156,0.48697674,1.119969
-0.3819,0.22812958,-0.40675238,-0.00019536837
0.5029934,1.703564,-0.5058389,0.22589116
1.9094807,2.5276473,-0.20086752,1.2442763
2.686443,1.5938721,0.11497306,1.1656663
2.3387632,0.19351733,0.2377229,-0.37720224
1.064739,-0.34551436,-0.23946126,-1.7517024
-0.60794574,-0.57033616,-1.1089073,-1.5038568
-1.6700842,-1.169661,-1.139574,-0.115762904
-1.4378842,-1.5245746,0.10827015,0.5181578
-0.7916693,-1.2025723,1.1509005,-0.68639106
-1.0371411,-0.8494853,0.6918985,-2.3313525
-1.6151903,-0.67609084,-0.34640452,-1.9884326
-0.8860186,0.010689928,-0.268251,0.32697794
0.97023726,1.1220589,0.9908742,1.9225557
1.9894974,1.5205563,2.040326,1.4997553
1.3922687,0.9498337,1.8720075,0.88303995
0.54183483,0.4677807,0.77678317,1.3615125
0.72544193,0.6544173,-0.19360986,1.5428815
1.480775,0.99209404,-0.3998733,0.6036562
1.4272627,1.0178168,-0.31245187,0.0468967
0.05472456,0.6872336,-0.7785623,0.372555
-1.4846696,-0.110718235,-1.6837811,-0.16831884
-1.6058152,-1.2403986,-2.080469,-1.8372264
-0.43678638,-1.9732484,-1.6197629,-2.3248577
0.26609573,-1.814088,-0.9389706,-0.8235603
-0.30892256,-1.1055409,-0.5830143,0.541815
-1.0034109,-0.30986413,-0.39719173,0.50104
-0.7171237,0.39827713,-0.04042552,0.31801087
0.08092366,0.55644256,0.55935514,0.67958397
0.5078324,-0.17634344,1.2217516,0.34105298
0.65995246,-0.8891375,1.5675907,-0.9327957
1.0357101,-0.41097048,1.3296666,-1.2449894
1.4090725,0.714205,0.84825045,0.15177836
1.2300622,1.1681757,0.686464,1.2024915
0.70578235,1.1476382,0.6889586,0.375654
0.50728357,1.5356673,0.33317694,-0.67225605
0.60036683,1.7895033,-0.11059988,0.23710006
0.3601028,1.042844,0.03209308,2.2277453
-0.19717307,0.0975984,0.57671934,2.7027037
-0.41676372,-0.101908036,0.7769935,1.1488421
-0.31383178,-0.40734312,0.3813794,-0.52265906
-0.4692339,-1.4235516,-0.35381335,-0.7763758
-0.5302887,-1.6352104,-0.871228,0.1207286
0.27765077,-0.19321291,-0.5197072,0.9602659
1.1145592,0.9268592,0.28105187,0.754636
0.44622466,0.1563661,0.01976528,-0.3986481
-1.0578736,-0.9857783,-1.3378061,-1.1808348
-1.2823325,-0.72886145,-1.6435404,-0.5817372
-0.020760525,0.28143403,-0.044299755,0.6421347
1.1733284,1.0208448,1.3489883,1.1704464
1.7262936,1.8830465,0.95571536,1.0540687
1.9685203,2.8195038,0.18239835,0.97306114
1.5377374,2.3812723,0.6438069,0.618823
0.34962147,0.14431806,1.3634475,-0.41840115
-0.31574795,-2.0035617,0.6479257,-1.2571217
0.1934142,-2.3136513,-0.9564259,-1.0066657
0.5440426,-1.3738537,-1.603623,-0.32850704
-0.1579523,-0.66950744,-1.1201408,-0.10840874
-0.61718297,-0.29657048,-0.8693002,0.11539471
0.098472826,0.33466828,-0.97762984,0.8081671
0.48402023,0.6911051,-0.10426544,1.0455761
-0.615607,0.0733936,1.8243582,0.18455529
-1.3765166,-0.53797954,2.996839,-0.56765985
0.0679279,0.1516871,2.3344774,0.068340145
2.099062,1.3469747,0.85908026,1.4228674
2.0466888,1.4251062,0.03345248,2.007241
0.43021533,0.77918434,0.06605787,1.5241832
-0.23744555,0.8907937,0.111632705,0.75203574
0.4567698,1.3181723,-0.57662016,0.3056758
0.76425165,0.48270726,-1.7424068,0.17407356
0.01256515,-1.071697,-2.2500682,0.0023669535
-0.5277144,-1.2954226,-1.3923002,-0.44215444
0.11253392,-0.10703682,0.1390856,-0.9382194
1.1717201,0.7323865,1.0567905,-1.0289997
1.2958915,0.59570056,0.87263256,-0.55681187
0.2794034,0.16290031,0.020167977,0.25021723
